Unique ID,Start Date,End Date,"Q1. What is your current age? 
(Age)","Q2. What is your gender? 
(Gender)","Q3. Which of the following best describes the area or community in which you live? 
(Urban/Rural)","Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes. 
(Income)","Q6 Which of the following types of alcoholic beverages have you consumed in the past 4 weeks?
(Alcohol Category)",,,,,,,,"Q7. Which of the following beer types of have you consumed in the past 4 weeks? 
(Beer Category )",,,,,,,"Q9. How relevant would you say the shown product is to you based on what you saw and read?
(Concept Relevance)","Q10. How appealing or unappealing is the shown product  to you?
(Concept Appeal)","Q11. How different do you think the shown product is from other beers currently available for purchase?
(Concept Differentiation)","Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are?
(Concept Beleivability)","Q13. How does the price fit with what you’d expect the shown to cost?
(Concept_Price)","Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores?
(Concept_Purchase Intent)","Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products?
(Concept_Drinking Frequency)",Q16A,Q16B,"Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…? 
(Concept_Replacement Product)",Q18_1,Q18_2,Q18_3,OE_Quality_Flag
257,10/13/2024 13:01,10/13/2024 13:14,64,Male,Small Town,"$50,000 to $59,999",Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Very Irrelevant,Extremely Unappealing,Slightly Different,Somewhat Believable,About Average,Definitely Would Not Buy,Never,i didnt say i did,i dont do light beer,Be used in addition to products you are currently using,,,,0
294,10/13/2024 15:57,10/13/2024 16:14,54,Female,Big city,"$50,000 to $59,999",Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Slightly Different,Somewhat Believable,Somewhat Inexpensive,May or May Not Buy,Once a Month,Low calorie and low carbs,It is a brand my father used to drink.,Be used in addition to products you are currently using,,,,0
324,10/13/2024 18:19,10/13/2024 18:29,33,Male,Rural / distant or remote,"$150,000 or more",Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Probably Would Buy,Once a Week,The taste and quality,None,Be used in addition to products you are currently using,,,,0
351,10/13/2024 20:51,10/13/2024 21:01,61,Male,Suburban / just outside of a city,"$100,000 to $149,999",Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Extremely Different,Very Believable,Somewhat Expensive,Probably Would Buy,Once a Week,I liked the colors that were used.  I also liked that it was light.,There was nothing that I did not like about it.,Be used in addition to products you are currently using,,,,0
382,10/13/2024 23:32,10/14/2024 0:00,53,Male,Small city,"$100,000 to $149,999",Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Neutral,Neither Appealing nor Unappealing,Very Different,Not Very Believable,About Average,Probably Would Buy,Once Every 6 Months,Better name,Don't dislike it it's just preferable not my drink,Be used in addition to products you are currently using,,,,0
419,10/14/2024 10:35,10/14/2024 10:43,30,Male,Small Town,"$60,000 to $69,999",Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Somewhat Believable,Somewhat Expensive,Probably Would Not Buy,Once a Month,It sounds interesting,none,Sometimes replace products you are currently drinking,coors light,keystone light,bud light,0
420,10/14/2024 10:38,10/14/2024 10:50,50,Male,Small city,"$80,000 to $89,999",Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Two or Three Days/Nights a Week,Its packaging is appealing right off the bat. Its rich and thick taste basically makes my mouth salivate.,It looks perfect.,Totally replace products you are currently drinking,Corona,Beck’s,Heineken,0
446,10/14/2024 19:06,10/14/2024 19:15,49,Male,Rural / distant or remote,"$100,000 to $149,999",Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Somewhat Relevant,Somewhat Appealing,Very Different,Very Believable,Somewhat Inexpensive,Probably Would Buy,Two or Three Days/Nights a Week,"It looks refreshing and delicious,  I like the low calorie feature",Theres nothing that I disliked about it,Sometimes replace products you are currently drinking,Heineken silver,Modelo,Dos equis,0
481,10/15/2024 19:22,10/15/2024 19:30,45,Male,Big city,"Less than $20,000",Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Two or Three Days/Nights a Week,The price,I dislike nothing,Be used in addition to products you are currently using,,,,1
508,10/16/2024 6:46,10/16/2024 7:07,37,Male,Suburban / just outside of a city,"$80,000 to $89,999",Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Neutral,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Two or Three Days/Nights a Week,i like that the beer is light. It seems healthier.,I dislike nothing.,Sometimes replace products you are currently drinking,miller light,hienkin,coors light,0
538,10/16/2024 18:23,10/16/2024 18:32,30,Male,Big city,"$100,000 to $149,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat Relevant,Extremely Appealing,Extremely Different,Somewhat Believable,Somewhat Expensive,Probably Would Buy,Once a Week,The bottle design & fonts.,The price,Be used in addition to products you are currently using,,,,0
567,10/17/2024 1:22,10/17/2024 1:28,32,Male,Small city,"$30,000 to $39,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat Relevant,Somewhat Appealing,Very Different,Not Very Believable,Somewhat Expensive,May or May Not Buy,Once a Month,I don’t like anything,Nothing,Sometimes replace products you are currently drinking,Montser,Water,Gatedade,1
595,10/17/2024 7:53,10/17/2024 8:07,33,Female,Big city,"$60,000 to $69,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat Relevant,Somewhat Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once a Week,Healthier,None,Sometimes replace products you are currently drinking,Modelo,Corona,Stella arteois,0
631,10/17/2024 14:14,10/17/2024 14:20,24,Female,Small city,"$30,000 to $39,999",Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Somewhat Believable,About Average,May or May Not Buy,Less Often Than Every 6 Months,It’s an ok beer,Not the best but it’s alright,Sometimes replace products you are currently drinking,Corona,Corona,Corona,1
651,10/17/2024 16:20,10/17/2024 16:26,32,Male,Big city,"$20,000 to $29,999",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Completely Relevant To Me,Somewhat Appealing,Somewhat Different,Not at all Believable,About Average,Definitely Would Buy,Daily/Nightly,Love the taste it’s great and light unlike other beers,Nothing at all I love this drink,Sometimes replace products you are currently drinking,Coronna,Coors light,Budweiser,0
1730,10/22/2024 11:42,10/22/2024 12:28,32,Male,Big city,"$100,000 to $149,999",Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Completely Relevant To Me,Somewhat Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once Every 2 to 3 Weeks,Test are very good.,None are dislike this.,Sometimes replace products you are currently drinking,Teasty,Cool,Original,1
1772,10/23/2024 10:50,10/23/2024 11:05,60,Female,Suburban / just outside of a city,"$60,000 to $69,999",Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Completely Relevant To Me,Extremely Appealing,Very Different,Very Believable,Somewhat Expensive,Probably Would Buy,Once Every 2 to 3 Weeks,85 calories,"Price, 9.99 is a little pricey",Sometimes replace products you are currently drinking,Michelob Ultra,Corona light,Bud light,0
1820,10-12-2024 12:41,10-12-2024 12:51,33,Male,Suburban / just outside of a city,"$150,000 or more",Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Completely Relevant To Me,Extremely Appealing,Very Different,Very Believable,Very Expensive,Definitely Would Buy,Daily/Nightly,The taste is so smooth,Nothing what so ever,Totally replace products you are currently drinking,Bud Light,Heineken,Modelo,0
1825,10/22/2024 4:43,10/22/2024 4:52,39,Male,Big city,"$150,000 or more",Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Two or Three Days/Nights a Week,The brand and the taste,Nothing,Totally replace products you are currently drinking,Veltins,Stella,Bud light,0
1873,10/21/2024 18:28,10/21/2024 19:04,30,Female,Small Town,"$70,000 to $79,999",Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,May or May Not Buy,Once Every 2-3 Months,Low calorie,I can't say I dislike anything about it visually,Be used in addition to products you are currently using,,,,0
1911,10/22/2024 1:10,10/22/2024 1:24,43,Male,Suburban / just outside of a city,"$150,000 or more",Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once a Week,the whole product was great,none of it,Sometimes replace products you are currently drinking,pure,natural,great taste,1
1940,10/21/2024 19:14,10/21/2024 19:37,36,Female,Small city,"$90,000 to $99,999",Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Somewhat Relevant,Somewhat Appealing,Very Different,Somewhat Believable,About Average,Probably Would Buy,Once Every 2 to 3 Weeks,Nothing in particular,Nothing,Sometimes replace products you are currently drinking,Coors,Bud light,Budweiser,0
1990,10/13/2024 6:40,10/13/2024 6:57,57,Female,Small city,"$30,000 to $39,999",Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Very Believable,Somewhat Expensive,May or May Not Buy,Once a Month,It's not a heavy beer,It just does not have that creative a flavor,Be used in addition to products you are currently using,,,,0
2041,10/17/2024 9:23,10/17/2024 9:33,53,Male,Small city,"$70,000 to $79,999",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Somewhat Relevant,Somewhat Appealing,Extremely Different,Somewhat Believable,About Average,Definitely Would Buy,Once a Month,It is crisp and refreshing,Nothing,Be used in addition to products you are currently using,,,,0
2083,10/22/2024 19:47,10/22/2024 20:00,36,Male,Big city,"$100,000 to $149,999",Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Somewhat Irrelevant,Somewhat Unappealing,Not Different at All,Not Very Believable,About Average,Definitely Would Not Buy,Never,Well if i will like anything about it will be the alcohol percentage it have,I just prefer other brands with much greater taste,Be used in addition to products you are currently using,,,,0
2124,10/22/2024 22:51,10/22/2024 23:01,46,Female,Small city,"$30,000 to $39,999",Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Neutral,Somewhat Unappealing,Somewhat Different,Not Very Believable,Somewhat Inexpensive,May or May Not Buy,Two or Three Days/Nights a Week,Nothing,Nothing,Be used in addition to products you are currently using,,,,0
2128,10/22/2024 19:45,10/22/2024 19:49,27,Male,Rural / distant or remote,"$60,000 to $69,999",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once a Week,I like how light it tastes,Nothing,Totally replace products you are currently drinking,Monster hard,Mikes hard,Reds apple ale,0
2188,10/17/2024 23:25,10/17/2024 23:32,29,Male,Suburban / just outside of a city,"$50,000 to $59,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Somewhat Relevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,About Average,Probably Would Buy,Daily/Nightly,i like,none this,Sometimes replace products you are currently drinking,corona,hin,we,1
2243,10/21/2024 23:14,10/21/2024 23:21,27,Male,Big city,"$100,000 to $149,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completely Relevant To Me,Somewhat Appealing,Extremely Different,Very Believable,Somewhat Expensive,Definitely Would Buy,Once a Week,It is a brand with a unique and different taste,Nothing,Totally replace products you are currently drinking,Star,Budweiser's,Heineken,0
2282,10/22/2024 0:34,10/22/2024 0:42,49,Female,Small Town,"$40,000 to $49,999",Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Somewhat Irrelevant,Somewhat Unappealing,Slightly Different,Somewhat Believable,Very Expensive,Definitely Would Not Buy,Once Every 2-3 Months,None,I do not like the flavor. The cost is too expensive.,Be used in addition to products you are currently using,,,,0
2338,10/21/2024 20:40,10/21/2024 21:00,48,Male,Small city,"Less than $20,000",Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Neutral,Neither Appealing nor Unappealing,Somewhat Different,Not Very Believable,About Average,Probably Would Not Buy,Once a Week,Don't drink it,Don't drink it,Sometimes replace products you are currently drinking,Budwiser,High life,Natural light,1
2389,10/22/2024 5:04,10/22/2024 5:09,32,Female,Big city,"$90,000 to $99,999",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Daily/Nightly,I like this new idea,nothing I dislike,Totally replace products you are currently drinking,heinekein,coors,coors light,0
2441,10/14/2024 2:07,10/14/2024 2:15,24,Male,Suburban / just outside of a city,"$50,000 to $59,999",Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Completely Relevant To Me,Extremely Appealing,Extremely Different,Very Believable,About Average,Definitely Would Buy,Once a Month,Overall everything is good,Not much overall,Sometimes replace products you are currently drinking,Coors natural,Miller genuine,Corona premier,0
2472,10/18/2024 6:01,10/18/2024 6:13,45,Male,Suburban / just outside of a city,"$60,000 to $69,999",Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Somewhat Relevant,Somewhat Appealing,Very Different,Somewhat Believable,About Average,Probably Would Buy,Two or Three Days/Nights a Week,I like that it's a premium light beer,I don't like the price,Sometimes replace products you are currently drinking,Budweiser,Bud light,Coors light,0
2484,10/22/2024 23:08,10/22/2024 23:21,38,Female,Small Town,"Less than $20,000",Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Very Irrelevant,Neither Appealing nor Unappealing,Not Different at All,Somewhat Believable,About Average,Definitely Would Not Buy,Never,Nothing about this jumps out at me to purchase thos beer at all.,It boring,Be used in addition to products you are currently using,,,,0
2503,10/23/2024 12:46,10/23/2024 12:57,64,Female,Suburban / just outside of a city,"$40,000 to $49,999",Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Very Irrelevant,Somewhat Appealing,Somewhat Different,Somewhat Believable,Very Expensive,Definitely Would Not Buy,Once a Month,The bottle,I dislike tge color,Totally replace products you are currently drinking,Coors,Budweiser,Miller,0
2535,10/23/2024 13:27,10/23/2024 13:57,32,Male,Rural / distant or remote,"Less than $20,000",Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Completely Relevant To Me,Extremely Appealing,Very Different,Very Believable,About Average,Definitely Would Buy,Daily/Nightly,It’s smooth making it very tasty,Nothing it’s perfect like it is,Sometimes replace products you are currently drinking,Mechelob,Bud light,Budweiser55,0
2554,10/23/2024 14:19,10/23/2024 14:35,62,Male,Rural / distant or remote,"$70,000 to $79,999",Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Very Irrelevant,Somewhat Unappealing,Not Different at All,Not Very Believable,About Average,Definitely Would Buy,Less Often Than Every 6 Months,I like the commercials,not a big fan of the flavor,Be used in addition to products you are currently using,,,,0
2590,10/23/2024 14:43,10/23/2024 14:56,53,Male,Small city,"$20,000 to $29,999",Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Neutral,Somewhat Appealing,Not Different at All,Somewhat Believable,Somewhat Expensive,Probably Would Buy,Two or Three Days/Nights a Week,I have never drank it but it looks smooth and good,Nothing,Totally replace products you are currently drinking,Bud light,Miller,Millier light,0
2596,10/23/2024 14:44,10/23/2024 15:02,59,Male,Suburban / just outside of a city,"$70,000 to $79,999",Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Very Irrelevant,Extremely Unappealing,Somewhat Different,Somewhat Believable,About Average,Definitely Would Not Buy,Less Often Than Every 6 Months,I like the packaging,It is a light beer so I’m concerned about the taste,Be used in addition to products you are currently using,,,,0
2625,10/23/2024 15:25,10/23/2024 15:37,34,Male,Small Town,"$20,000 to $29,999",Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Somewhat Relevant,Somewhat Appealing,Very Different,Somewhat Believable,Somewhat Expensive,Probably Would Buy,Daily/Nightly,Low carbs,Taste,Sometimes replace products you are currently drinking,Bud light,Steel reserve,Bud ice,0
2658,10/23/2024 16:20,10/23/2024 16:52,30,Female,Big city,"$40,000 to $49,999",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Somewhat Irrelevant,Somewhat Unappealing,Not Different at All,Not Very Believable,Very Inexpensive,Definitely Would Not Buy,Once Every 2 to 3 Weeks,Great price. Pretty bottle. Low calorie,Uses the word gold too much. Tries to sound elite. Like its really desperate to make me feel cool while drinking it but none gives a damn what beer people drink in the real world,Sometimes replace products you are currently drinking,Lone star,White claw,Shiner bock,0
2660,10/23/2024 17:25,10/23/2024 17:35,41,Female,Rural / distant or remote,"$20,000 to $29,999",Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Neutral,Neither Appealing nor Unappealing,Slightly Different,Not Very Believable,About Average,May or May Not Buy,Once a Month,n/a,n/a,Sometimes replace products you are currently drinking,n/a,n/a,n/a,1
2671,10/23/2024 18:24,10/23/2024 18:41,65,Male,Rural / distant or remote,"$40,000 to $49,999",Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Very Irrelevant,Somewhat Unappealing,Not Different at All,Not Very Believable,Somewhat Expensive,May or May Not Buy,Once Every 2 to 3 Weeks,nothing,nothing,Be used in addition to products you are currently using,,,,0
